global index,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
21151,727883,24220,BOWERS FIELD AIRPORT,US,WA,KELN,47.034,-120.53,538.3,19880106,20201228
21153,727884,99999,RICHLAND AIRPORT,US,WA,KRLD,46.306,-119.304,120.1,19810203,20201226
21159,727910,94224,ASTORIA REGIONAL AIRPORT,US,OR,KAST,46.157,-123.883,2.7,19730101,20201227
21165,727920,24227,OLYMPIA AIRPORT,US,WA,KOLM,46.973,-122.903,57.3,19730101,20201227
21166,727923,94225,BOWERMAN AIRPORT,US,WA,KHQM,46.973,-123.93,3.7,19910108,20201227
21167,727924,24223,KELSO-LONGVIEW AIRPORT,US,WA,KKLS,46.117,-122.894,6.1,19900208,20201227
21169,727925,94227,SANDERSON FIELD AIRPORT,US,WA,KSHN,47.238,-123.141,82.6,19990101,20201228
21177,727930,24233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,US,WA,KSEA,47.444,-122.314,112.8,19480101,20201227
21181,727935,24234,BOEING FLD/KING CO INTL AP,US,WA,KBFI,47.53,-122.301,5.5,19431001,20201228
21192,727970,94240,QUILLAYUTE AIRPORT,US,WA,KUIL,47.938,-124.555,56.4,19730101,20201227
21196,727976,24217,BELLINGHAM INTL AIRPORT,US,WA,KBLI,48.794,-122.537,45.4,19480101,20201227
21506,742060,24207,MCCHORD AFB AIRPORT,US,WA,KTCM,47.15,-122.483,98.2,19400722,20201227
21519,742300,24037,FRANK WILEY FIELD AIRPORT,US,MT,KMLS,46.427,-105.883,799.8,19830531,20201227
21535,743945,14710,MANCHESTER AIRPORT,US,NH,KMHT,42.93,-71.436,67.4,19730101,20201227
21551,744550,94982,DAVENPORT MUNICIPAL AIRPT,US,IA,KDVN,41.614,-90.591,228.6,19960702,20201227
21586,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,US,NY,KJFK,40.639,-73.764,3.4,19730101,20201227
21589,744865,14719,FRANCIS S GABRESKI AP,US,NY,KFOK,40.844,-72.632,20.4,19430718,20201227
21597,744910,14703,WESTOVER AFB/METROPOLITAN AIRPORT,US,MA,KCEF,42.2,-72.533,73.5,19410401,20201227
21599,744915,14775,BARNES MUNICIPAL AIRPORT,US,MA,KBAF,42.158,-72.716,82.6,19730105,20201227
21606,744989,14747,CHAUTAUQUA CO/DUNKIRK ARPT,US,NY,KDKK,42.493,-79.272,203.0,19970102,20201227
21608,744994,4741,SCHENECTADY COUNTY AIRPORT,US,NY,KSCH,42.85,-73.95,115.2,19810421,20201227
